sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
The tourist consulted the ranger that escorted the hiker that slipped.,Who did the tourist consult?,s37_5,baseline_embedded,quest_deepest,The ranger,The hiker
The tourist consulted the ranger that escorted the hiker that slipped.,Who did the ranger escort?,s37_6,baseline_embedded,quest_middle,The hiker,The tourist
The clerk that the supervisor that the auditor evaluated trained yawned.,Who did the auditor evaluate?,s38_1,double_center_embedded,quest_deepest,The supervisor,The clerk
The clerk that the supervisor that the auditor evaluated trained yawned.,Who did the supervisor train?,s38_2,double_center_embedded,quest_middle,The clerk,The auditor
 The supervisor that trained the clerk that yawned was evaluated by the auditor.,Who did the auditor evaluate?,s38_3,nested_clause_embedded,quest_deepest,The supervisor,The clerk
 The supervisor that trained the clerk that yawned was evaluated by the auditor.,Who did the supervisor train?,s38_4,nested_clause_embedded,quest_middle,The clerk,The auditor
The auditor evaluated the supervisor that trained the clerk that yawned.,Who did the auditor evaluate?,s38_5,baseline_embedded,quest_deepest,The supervisor,The clerk
The auditor evaluated the supervisor that trained the clerk that yawned.,Who did the supervisor train?,s38_6,baseline_embedded,quest_middle,The clerk,The auditor
The courier that the dispatcher that the customer called disliked sighed.,Who did the customer call?,s39_1,double_center_embedded,quest_deepest,The dispatcher,The courier
The courier that the dispatcher that the customer called disliked sighed.,Who did the dispatcher dislike?,s39_2,double_center_embedded,quest_middle,The courier,The customer
The dispatcher that disliked the courier that sighed was called by the customer.,Who did the customer call?,s39_3,nested_clause_embedded,quest_deepest,The dispatcher,The courier
The dispatcher that disliked the courier that sighed was called by the customer.,Who did the dispatcher dislike?,s39_4,nested_clause_embedded,quest_middle,The courier,The customer
The customer called the dispatcher that disliked the courier that sighed.,Who did the customer call?,s39_5,baseline_embedded,quest_deepest,The dispatcher,The courier
The customer called the dispatcher that disliked the courier that sighed.,Who did the dispatcher dislike?,s39_6,baseline_embedded,quest_middle,The courier,The customer
The monk that the scholar that the pilgrim visited guided meditated.,Who did the pilgrim visit?,s40_1,double_center_embedded,quest_deepest,The scholar,The monk
The monk that the scholar that the pilgrim visited guided meditated.,Who did the scholar guide?,s40_2,double_center_embedded,quest_middle,The monk,The pilgrim
The scholar that guided the monk that meditated was visited by the pilgrim.,Who did the pilgrim visit?,s40_3,nested_clause_embedded,quest_deepest,The scholar,The monk
The scholar that guided the monk that meditated was visited by the pilgrim.,Who did the scholar guide?,s40_4,nested_clause_embedded,quest_middle,The monk,The pilgrim
The pilgrim visited the scholar that guided the monk that meditated.,Who did the pilgrim visit?,s40_5,baseline_embedded,quest_deepest,The scholar,The monk
The pilgrim visited the scholar that guided the monk that meditated.,Who did the scholar guide?,s40_6,baseline_embedded,quest_middle,The monk,The pilgrim
