,Unnamed: 0,sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
378,378,While the log broke the window moved on its axis.,Did the window move on its axis?,set_hyp5_22,GP_reflexive,simple_question,Yes,No
379,379,While the log broke the window moved on its axis.,Did the log break the window?,set_hyp5_22,GP_reflexive,GP_question,No,Yes
380,380,While the match lit the fire warmed the children.,Did the fire warm the children?,set_hyp5_23,GP_reflexive,simple_question,Yes,No
381,381,While the match lit the fire warmed the children.,Did the match light the fire?,set_hyp5_23,GP_reflexive,GP_question,No,Yes
382,382,While the wave crashed the boat was stranded in the ocean.,Was the boat stranded in the ocean?,set_hyp5_24,GP_reflexive,simple_question,Yes,No
383,383,While the wave crashed the boat was stranded in the ocean.,Did the wave crash the boat?,set_hyp5_24,GP_reflexive,GP_question,No,Yes
384,384,While the man hunted the deer ran into the woods.,Did the deer run into the woods?,set_1,GP_prob,simple_question,Yes,No
385,385,While the man hunted the deer ran into the woods.,Did the man hunt the deer?,set_1,GP_prob,GP_question,No,Yes
388,388,The deer ran into the woods while the man hunted.,Did the deer run into the woods?,set_1,nonGP_prob,simple_question,Yes,No
389,389,The deer ran into the woods while the man hunted.,Did the man hunt the deer?,set_1,nonGP_prob,GP_question,No,Yes
392,392,While the skipper sailed the boat veered off course.,Did the boat veer off course?,set_2,GP_prob,simple_question,Yes,No
393,393,While the skipper sailed the boat veered off course.,Did the skipper sail the boat?,set_2,GP_prob,GP_question,No,Yes
396,396,The boat veered off course while the skipper sailed.,Did the boat veer off course?,set_2,nonGP_prob,simple_question,Yes,No
397,397,The boat veered off course while the skipper sailed.,Did the skipper sail the boat?,set_2,nonGP_prob,GP_question,No,Yes
400,400,While the orchestra performed the symphony played on the radio.,Did the symphony play on the radio?,set_3,GP_prob,simple_question,Yes,No
401,401,While the orchestra performed the symphony played on the radio.,Did the orchestra perform the symphony?,set_3,GP_prob,GP_question,No,Yes
404,404,The symphony played on the radio while the orchestra performed.,Did the symphony play on the radio?,set_3,nonGP_prob,simple_question,Yes,No
405,405,The symphony played on the radio while the orchestra performed.,Did the orchestra perform the symphony?,set_3,nonGP_prob,GP_question,No,Yes
408,408,While the bridesmaid ordered the dress got delivered.,Did the dress get delivered?,set_4,GP_prob,simple_question,Yes,No
409,409,While the bridesmaid ordered the dress got delivered.,Did the bridesmaid order the dress?,set_4,GP_prob,GP_question,No,Yes
412,412,The dress got delivered while the bridesmaid ordered.,Did the dress get delivered?,set_4,nonGP_prob,simple_question,Yes,No
413,413,The dress got delivered while the bridesmaid ordered.,Did the bridesmaid order the dress?,set_4,nonGP_prob,GP_question,No,Yes
416,416,While Susan wrote the letter fell off the table.,Did the letter fall off the table?,set_5,GP_prob,simple_question,Yes,No
417,417,While Susan wrote the letter fell off the table.,Did Susan write the letter?,set_5,GP_prob,GP_question,No,Yes
420,420,The letter fell off the table while Susan wrote.,Did the letter fall off the table?,set_5,nonGP_prob,simple_question,Yes,No
421,421,The letter fell off the table while Susan wrote.,Did Susan write the letter?,set_5,nonGP_prob,GP_question,No,Yes
424,424,While the farmer steered the tractor pulled the car.,Did the tractor pull the car?,set_6,GP_prob,simple_question,Yes,No
425,425,While the farmer steered the tractor pulled the car.,Did the farmer steer the tractor?,set_6,GP_prob,GP_question,No,Yes
428,428,The tractor pulled the car while the farmer steered.,Did the tractor pull the car?,set_6,nonGP_prob,simple_question,Yes,No
429,429,The tractor pulled the car while the farmer steered.,Did the farmer steer the tractor?,set_6,nonGP_prob,GP_question,No,Yes
432,432,While the lawyer studied the contract lay on the roll-top desk.,Did the contract lie on the roll-top desk?,set_7,GP_prob,simple_question,Yes,No
433,433,While the lawyer studied the contract lay on the roll-top desk.,Did the lawyer study the contract?,set_7,GP_prob,GP_question,No,Yes
436,436,The contract lay on the roll-top desk while the lawyer studied.,Did the contract lie on the roll-top desk?,set_7,nonGP_prob,simple_question,Yes,No
437,437,The contract lay on the roll-top desk while the lawyer studied.,Did the lawyer study the contract?,set_7,nonGP_prob,GP_question,No,Yes
440,440,While the clown juggled the balls fell on the ground.,Did the balls fall on the ground?,set_8,GP_prob,simple_question,Yes,No
441,441,While the clown juggled the balls fell on the ground.,Did the clown juggle the balls?,set_8,GP_prob,GP_question,No,Yes
444,444,The balls fell on the ground while the clown juggled.,Did the balls fall on the ground?,set_8,nonGP_prob,simple_question,Yes,No
445,445,The balls fell on the ground while the clown juggled.,Did the clown juggle the balls?,set_8,nonGP_prob,GP_question,No,Yes
448,448,While Anne vacuumed the rug lost its colors.,Did the rug lose its colors?,set_9,GP_prob,simple_question,Yes,No
449,449,While Anne vacuumed the rug lost its colors.,Did Anne vacuum the rug?,set_9,GP_prob,GP_question,No,Yes
452,452,The rug lost its colors while Anne vacuumed.,Did the rug lose its colors?,set_9,nonGP_prob,simple_question,Yes,No
453,453,The rug lost its colors while Anne vacuumed.,Did Anne vacuum the rug?,set_9,nonGP_prob,GP_question,No,Yes
